USER,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,No edits needed,No data until 1993,Irian Jaya,58,Non Forest,High,Lahan Terbuka,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1994,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,87,Primary intact,High,Belukar Rawa,DEG_ND,High,1999,1996,Degraded - Natural disturbance,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1996,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,COMMISSION,YES,Edited entry,,Irian Jaya,91,Primary intact,High,Belukar Rawa,NON,High,2005,2004,Degraded - Nearby clearing,Low,2015,2014,Degraded - Nearby clearing,Low,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1993,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,107,Primary intact,High,Hutan Sekunder,CLEAR_RO,High,2013,2012,Cleared - Roading,Low,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1995,Yes,High,Agree,NA,,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,Edited entry,,Irian Jaya,120,Primary degraded,High,Lahan Terbuka,CLEAR_FI,High,1999,1997,Degraded - Natural disturbance,Low,2016,2015,Cleared - Fire,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,122,Primary intact,High,Hutan Sekunder,DEG_SL,High,1999,1997,Degraded - Selective Logging,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,137,Primary intact,High,Hutan Mangrove,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1995,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,COMMISSION,YES,No edits needed,,Irian Jaya,158,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2009,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,162,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,168,Primary degraded,High,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,1993,1990,Cleared - Small-holder land use,Low,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Agree,NA,,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,171,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,2000,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,174,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,186,Primary intact,High,Hutan Mangrove,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,187,Primary degraded,High,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1996,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,195,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,Edited entry,,Kalimantan,3059,Primary degraded,high,Belukar,CLEAR_AB,High,2008,2007,Degraded - Nearby clearing,high,2010,2009,Degraded - Nearby clearing,high,2011,2010,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3067,Primary intact,high,Belukar,CLEAR_FI,High,1998,1996,Cleared - Fire,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3069,Primary degraded,high,Hutan Mangrove Sekunder,CLEAR_RO,High,2016,2014,Cleared - Roading,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2009,1990,Yes,high,Disagree - major,,,,,,,NA,NA,NA,forest regrowth
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3070,Primary degraded,Low,Belukar,CLEAR_AB,Low,1997,1996,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1990,No,high,Disagree - major,,,Belukar (berdasarkan verifikasi melalui Google Earth),,,,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3074,Non Forest,High,Hutan Sekunder,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1994,No,high,Disagree - minor,Diana edited,,"Completely cleared by a logging road, but regrew over 20 years, meeting KLHKs secondary forest definition",,,,NA,NA,NA,forest regrowth
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3081,Primary intact,Low,Pertanian Lahan Kering Campur Semak,CLEAR_RU,High,2005,2004,Degraded - Selective Logging,high,2006,2005,Cleared - Rubber,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1994,yes,high,Disagree - minor,,no data in 1990,,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,Edited entry,increasing: change 3 year,Kalimantan,3085,Primary intact,low,Belukar,CLEAR_AB,High,1999,1998,Degraded - Selective Logging,high,2003,2002,Cleared - Abandoned/transitional,High,2015,2014,Cleared - Fire,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1991,yes,high,Disagree - minor,,no imagery in 1990,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3091,Primary degraded,high,Perkebunan,CLEAR_PE,High,1994,1992,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,Yes,high,Disagree - minor,,no data before 1989,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3096,Primary degraded,high,Perkebunan,CLEAR_PE,High,1998,1996,Cleared - Fire,high,2007,2006,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,yes,high,Disagree - major,,first imagery 1989; no imagery in 1990,,fire clearing,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,Edited entry,Change 2 year:2006,Kalimantan,3113,Primary degraded,low,Belukar,CLEAR_AB,High,1997,1994,Degraded - Fire,high,2006,2005,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2012,1994,yes,high,Disagree - minor,,first imagery 1989; no imagery in 1991,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3115,Primary intact,high,Belukar,CLEAR_FI,High,1994,1990,Degraded - Selective Logging,Low,1998,1997,Cleared - Fire,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_FOR,YES,Edited entry,final landuse:pertambangan-->belukar,Kalimantan,3127,Primary intact,High,Belukar,CLEAR_FI,High,2005,2004,Cleared - Fire,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,yes,high,Agree,,first imagery 1989; no imagery in 1991,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3130,Primary intact,Low,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,2000,1999,Cleared - Small-holder land use,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,OMISSION,YES,Edited entry,1990:degraded-->intact,Kalimantan,3139,Primary intact,low,Hutan Sekunder,DEG_SL,High,1998,1997,Degraded - Fire,high,2009,2008,Degraded - Selective Logging,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,yes,high,Disagree - minor,,first imagery 1989; no imagery in 1991,regrowth,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,COMMISSION,YES,Edited entry,No change in land cover,Kalimantan,3141,Primary intact,high,Hutan Primer,CLEAR_AB,Low,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3152,Primary degraded,low,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1991,No,high,Disagree - major,,first imagery 1991; no imagery in 1990,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,COMMISSION,YES,Edited entry,only 2 changes year,Kalimantan,3155,Primary degraded,high,Belukar,CLEAR_AB,High,1998,1997,Degraded - Nearby clearing,high,2007,2006,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,COMMISSION,YES,No edits needed,,Kalimantan,3158,Primary degraded,high,Belukar Rawa,CLEAR_OT,High,1998,1997,Cleared - Fire,high,2016,2015,Cleared - Other,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1992,yes,high,Disagree - minor,,first imagery 1989; no imagery in 1990,,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3169,Primary degraded,high,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,no,high,Disagree - major,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3171,Primary intact,high,Belukar,CLEAR_FI,High,1995,1994,Degraded - Selective Logging,high,1997,1996,Cleared - Fire,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,yes,high,Agree,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,OMISSION,YES,No edits needed,,Kalimantan,3174,Primary intact,high,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,no,high,Agree,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3176,Primary degraded,Low,Hutan Sekunder,DEG_SL,High,2013,2012,Degraded - Selective Logging,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,OMISSION,YES,Edited entry,numbers year of change the landcover,Kalimantan,3178,Primary degraded,high,Hutan Tanaman,CLEAR_AB,High,1998,1997,Cleared - Tree plantations,high,2002,2000,Cleared - Tree plantations,High,2006,2005,Cleared - Tree plantations,High,2010,2009,Cleared - Tree plantations,High,2013,2012,Cleared - Tree plantations,High,NA,NA,,,Yes,none,1990,No,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3182,Non Forest,high,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2010,1993,no,high,Disagree - major,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3187,Primary degraded,high,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,1994,1992,Cleared - Abandoned/transitional,High,2014,2013,Cleared - Small-holder land use,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,Yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,"no image at 90&93, forest at 91-92",Kalimantan,3189,Primary degraded,High,Belukar,CLEAR_FI,High,1994,1992,Cleared - Fire,high,2008,2007,Cleared - Fire,low,2015,2014,Cleared - Fire,Low,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1991,yes,high,Disagree - major,,first imagery 1991; no imagery in 1990,,,"not sure if clearing for plantation, no high res imagery",,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,OMISSION,YES,No edits needed,,Kalimantan,3191,Primary degraded,high,Belukar,CLEAR_AB,High,1999,1998,Degraded - Nearby clearing,high,2002,2001,Cleared - Abandoned/transitional,High,2012,2011,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3192,Non Forest,high,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2010,1993,yes,high,Agree,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3198,Non Forest,high,Perkebunan,CLEAR_PE,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2009,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,OMISSION,YES,Edited entry,,Kalimantan,3199,Non Forest,high,Pertanian Lahan Kering,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,2015,1990,No,high,Agree,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_FOR,YES,No edits needed,,Kalimantan,3203,Primary degraded,high,Belukar,CLEAR_SH,High,2014,2013,Cleared - Small-holder land use,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2013,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3206,Primary intact,high,Perkebunan,CLEAR_RO,High,1997,1994,Cleared - Fire,high,2002,2001,Cleared - Abandoned/transitional,High,2006,2005,Cleared - Roading,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,yes,high,Disagree - minor,Road adjacent to palm estate,,,,,,NA,NA,NA,ditanami sawit tahun 2008
Tatik checked,Tatik checked,COMMISSION,COMMISSION,YES,Edited entry,,Kalimantan,3209,Primary intact,High,Hutan Rawa Primer,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,No,High,Disagree - major,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,COMMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,3217,Primary intact,high,Tambak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,2015,1992,yes,high,Disagree - major,,image not available until 1992,,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3222,Primary degraded,low,Hutan Mangrove Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,No,high,Agree,,image of 1990 not available,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3223,Primary degraded,high,Belukar,CLEAR_AB,High,1998,1997,Cleared - Fire,high,2013,2012,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,yes,high,Disagree - minor,,"image of 1990 not available, but degraded in 1988",,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3225,Primary degraded,high,Belukar,CLEAR_AB,High,1999,1997,Cleared - Abandoned/transitional,high,2015,2014,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,fire,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3231,Primary intact,high,Perkebunan,CLEAR_PE,High,1994,1990,Degraded - Nearby clearing,high,1997,1996,Degraded - Selective Logging,high,2007,2006,Cleared - Abandoned/transitional,High,2010,2009,Cleared - Abandoned/transitional,High,2012,2011,Cleared - Abandoned/transitional,High,2014,2013,Cleared - Palm estates,High,Yes,none,1990,yes,high,Disagree - minor,,,2010 dibuka untuk palm oil,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3233,Primary intact,high,Belukar,CLEAR_AB,High,1998,1997,Cleared - Fire,high,2015,2014,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2012,1990,yes,high,Disagree - minor,,,,fire,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,Edited entry,"1990 (No image), still forest until 1995",Kalimantan,3234,Primary degraded,low,Belukar,CLEAR_FI,Low,1996,1995,Degraded - Nearby clearing,High,1998,1997,Cleared - Fire,High,2006,2005,Cleared - Tree plantations,Low,2013,2012,Cleared - Fire,High,2016,2015,Cleared - Fire,Low,NA,NA,,,No,none,1995,Yes,high,Disagree - minor,,"image of 1990 not available, but in 1995 still primary intact",,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,OMISSION,YES,Edited entry,,Kalimantan,3238,Non Forest,high,Belukar,CLEAR_AB,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,COMMISSION,YES,No edits needed,non forest since 1997,Kalimantan,5062,Primary intact,High,Belukar,CLEAR_FI,High,1997,1994,Cleared - Abandoned/transitional,High,2015,2014,Cleared - Fire,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,Yes,High,Agree,,Sample complete!,,,,,NA,NA,NA,
Tatik checked,Tatik checked,OMISSION,AGREE_NON,YES,No edits needed,Non forest since 1997,Kalimantan,5063,Primary degraded,Low,Belukar,CLEAR_AB,High,1997,1991,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,yes,high,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Tatik checked,Tatik checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,5067,Primary degraded,high,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,No,high,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
