Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,Edited entry,changed from 'rawa' to 'belukar',Irian Jaya,352,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,Edited entry,changed from 'primary intact' to 'non forest',Irian Jaya,355,Non Forest,High,Belukar Rawa,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,COMMISSION,YES,No edits needed,,Irian Jaya,358,Non Forest,Low,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2011,1991,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,366,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,first free cloud image was in 1994,Irian Jaya,386,Non Forest,Low,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2005,1994,No,High,Disagree - major,NA,Sample complete!,regrowth on logging road,,,NA,NA,NA,NA,Diana edited
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,395,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2006,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,OMISSION,YES,No edits needed,,Irian Jaya,398,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,403,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1994,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,Edited entry,changed from 'primary intact' to 'non forest',Irian Jaya,405,Non Forest,Low,Belukar,PIN,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1993,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,411,Non Forest,High,Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,Edited entry,changed from 'non forest' to 'primary intact',Irian Jaya,412,Primary intact,Low,Hutan Rawa Primer,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Diana checked,AGREE_FOR,OMISSION,YES,No edits needed,"Wetland, forest edge",Irian Jaya,428,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,432,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,438,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,450,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1994,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,451,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,462,Primary intact,High,Hutan Sekunder,DEG_ND,High,1999,1997,Degraded - Natural disturbance,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,464,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,2000,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,465,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,OMISSION,YES,Edited entry,changed from 'hutan sekunder' to 'hutan rawa sekunder',Irian Jaya,477,Primary degraded,High,Hutan Rawa Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,482,Primary degraded,High,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1994,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,Edited entry,Type of change was land clearing for road,Irian Jaya,483,Primary intact,High,Belukar,DEG_NE,High,2000,1998,Cleared - Roading,Low,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1990,Yes,High,Disagree - major,NA,,,logging road,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,Edited entry,changed from 'primary intact' to 'non forest',Irian Jaya,484,Non Forest,High,Belukar Rawa,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3432,Primary degraded,High,Belukar,CLEAR_AB,Low,2002,2001,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2007,1992,Yes,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,COMMISSION,YES,No edits needed,,Kalimantan,3437,Primary degraded,Low,Belukar,CLEAR_AB,Low,2000,1999,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1997,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3442,Primary intact,low,Perkebunan,CLEAR_PE,High,1998,1993,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1992,yes,high,Agree,,Sample complete!,sawit,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3445,Non Forest,high,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,High,Agree,,,sawit,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,COMMISSION,YES,No edits needed,,Kalimantan,3446,Non Forest,Low,Belukar,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1990,Yes,high,Agree,,,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,COMMISSION,YES,No edits needed,,Kalimantan,3452,Primary intact,low,Belukar,CLEAR_AB,High,1998,1996,Cleared - Abandoned/transitional,high,2007,2006,Cleared - Abandoned/transitional,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_NON,YES,Edited entry,Final land use is 'tree plantation',Kalimantan,3457,Primary degraded,low,Perkebunan,CLEAR_PE,Low,1994,1990,Degraded - Selective Logging,Low,1996,1994,Cleared - Abandoned/transitional,Low,1998,1997,Cleared - Fire,High,2014,2013,Cleared - Tree plantations,Low,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - major,,,,,,"there are still change in 1998, and 2014",NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,COMMISSION,YES,Edited entry,changed from 'non forest' to 'primary intact',Kalimantan,3467,Primary intact,High,Hutan Rawa Sekunder,NON,High,2015,2013,Degraded - Nearby clearing,High,2016,2015,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,no,High,Disagree - major,,,karet,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3468,Non Forest,high,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1998,yes,high,Disagree - major,,Sample complete!,sawit,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3483,Non Forest,low,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2003,1998,No,high,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,No edits needed,,Kalimantan,3485,Primary intact,High,Hutan Tanaman,CLEAR_TP,High,1997,1993,Degraded - Selective Logging,Low,2012,2011,Cleared - Tree plantations,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1993,yes,high,Disagree - minor,,Sample complete!,,pixel was on cloud area,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,No edits needed,,Kalimantan,3489,Primary intact,high,Perkebunan,CLEAR_PE,High,2009,2008,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1990,yes,high,Disagree - minor,,Sample complete!,Sawit,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3492,Primary degraded,high,Perkebunan,CLEAR_PE,High,1993,1990,Cleared - Abandoned/transitional,High,2007,2006,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,yes,high,Disagree - major,,Sample complete!,Sawit,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_NON,YES,No edits needed,changed from 'belukar' to 'perkebunan',Kalimantan,3494,Primary intact,low,Perkebunan,CLEAR_AB,High,1997,1994,Cleared - Abandoned/transitional,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,yes,high,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3495,Non Forest,high,Belukar,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,No,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,Edited entry,changed from 'belukar' to 'belukar rawa',Kalimantan,3507,Non Forest,high,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,No,High,Agree,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,Edited entry,changed from 'pertanian lahan kering campur semak' to 'perkebunan',Kalimantan,3511,Non Forest,low,Perkebunan,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1993,No,high,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,COMMISSION,YES,No edits needed,,Kalimantan,3514,Non Forest,Low,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1997,No,High,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,No edits needed,,Kalimantan,3515,Primary intact,High,Perkebunan,CLEAR_PE,High,1998,1996,Degraded - Nearby clearing,Low,2007,2006,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - major,,Sample complete!,Sawit,degradation may have occurred before 1998 because there was no cloud free image before 1998,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,Edited entry,changed from 'primary degraded' to 'non forest',Kalimantan,3523,Non Forest,High,Belukar,CLEAR_FI,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2009,1994,yes,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_FOR,YES,No edits needed,,Kalimantan,3528,Primary intact,high,Belukar Rawa,CLEAR_AB,High,2006,2005,Degraded - Selective Logging,High,2013,2012,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1990,yes,low,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,Edited entry,final land use changed to 'hutan primer',Kalimantan,3532,Primary intact,high,Hutan Primer,DEG_SL,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1991,Yes,Low,Disagree - major,,Sample complete!,,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3533,Primary intact,high,Hutan Sekunder,DEG_SL,Low,2009,2008,Degraded - Selective Logging,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2013,1990,yes,low,Disagree - major,,Sample complete!,,,,,NA,NA,NA,2016 image is covered by cloud
Zuraidah checked,Zuraidah checked,COMMISSION,COMMISSION,YES,No edits needed,,Kalimantan,3534,Non Forest,high,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - major,,Sample complete!,Sawit,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,COMMISSION,YES,Edited entry,1990 land cover changed to primary intact; final land use changed to 'hutan primer',Kalimantan,3541,Primary intact,high,Hutan Primer,CLEAR_RU,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1995,Yes,high,Disagree - major,Diana edited,Sample complete!,rubber,land clearing and rubber tree planting could start happening during 1998-1999,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3544,Primary intact,high,Tambak,CLEAR_OT,High,1998,1997,Cleared - Other,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Agree,,Sample complete!,,Fish Pond,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_NON,YES,Edited entry,type of change' at change 2,Kalimantan,3551,Primary degraded,High,Perkebunan,CLEAR_AB,Low,1997,1996,Degraded - Selective Logging,Low,1998,1997,Cleared - Rubber,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1993,yes,high,Disagree - major,Diana checked,No data until 1993,,1998,by fire,,NA,NA,NA,Diana edited
Zuraidah checked,Zuraidah checked,OMISSION,AGREE_NON,YES,Edited entry,type of change' at change 2,Kalimantan,3557,Primary degraded,High,Perkebunan,CLEAR_PE,Low,1998,1997,Cleared - Abandoned/transitional,Low,2013,2012,Cleared - Abandoned/transitional,High,2015,2014,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2011,1990,yes,high,Disagree - major,,Sample complete!,sawit,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,3558,Primary degraded,low,Perkebunan,CLEAR_PE,High,2002,2001,Cleared - Abandoned/transitional,High,2015,2014,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1998,Yes,high,Disagree - major,Diana checked,No data until 1998,sawit,,,,NA,NA,NA,
Zuraidah checked,Zuraidah checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,3565,Non Forest,high,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2010,1990,yes,high,Agree,,Sample complete!,Sawit,,,,NA,NA,NA,
