USER,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,1222,Primary degraded,High,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,2000,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,1225,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,Edited entry,,Irian Jaya,1234,Non Forest,High,Belukar Rawa,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,COMMISSION,YES,Edited entry,,Irian Jaya,1240,Non Forest,High,Belukar Rawa,CLEAR_AB,High,NA,,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2003,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,1245,Primary degraded,High,Hutan Rawa Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2003,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,dipengaruhi oleh pasang surut air laut,Irian Jaya,1251,Primary degraded,High,Hutan Mangrove Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2006,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,wetland forest,Irian Jaya,1257,Primary degraded,High,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,Edited entry,,Irian Jaya,1264,Primary intact,High,Hutan Primer,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2015,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,COMMISSION,YES,Edited entry,,Irian Jaya,1277,Primary degraded,High,Hutan Rawa Sekunder,CLEAR_AB,High,NA,,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1995,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,No edits needed,,Irian Jaya,1282,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1995,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,pixel still forest even surrounding area is non forest,Irian Jaya,1283,Primary degraded,High,Belukar Rawa,CLEAR_AB,High,1994,1992,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,edge the water,Irian Jaya,1290,Non Forest,High,Air,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1991,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,Edited entry,,Irian Jaya,1322,Primary intact,Low,Hutan Rawa Primer,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,1326,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,1353,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,1356,Primary intact,High,Hutan Rawa Sekunder,DEG_FI,High,1998,1997,Degraded - Fire,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1993,Yes,High,Disagree - major,NA,,Spot tidak tersedia,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,1364,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,1367,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2010,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,1368,Primary degraded,High,Belukar Rawa,CLEAR_AB,High,2001,2000,Cleared - Abandoned/transitional,High,2009,2008,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,1379,Non Forest,High,Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,Edited entry,,Irian Jaya,1402,Non Forest,High,Pertanian Lahan Kering Campur Semak,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,COMMISSION,YES,Edited entry,,Irian Jaya,1410,Primary intact,High,Hutan Rawa Primer,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,COMMISSION,YES,Edited entry,,Irian Jaya,1411,Primary intact,High,Hutan Rawa Sekunder,CLEAR_AB,High,1998,1997,Degraded - Fire,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2002,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,No edits needed,wetland forest,Irian Jaya,1413,Primary intact,High,Lahan Terbuka,CLEAR_RO,High,1993,1990,Cleared - Roading,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,1416,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1995,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,wetland forest,Irian Jaya,1417,Primary degraded,High,Hutan Rawa Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1993,No,High,Disagree - minor,NA,Sample complete!,Data landsat tahun 1990-1992 tidak dapat di interprestasi,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,wetland forest,Irian Jaya,1435,Primary degraded,High,Hutan Rawa Sekunder,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1996,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,1442,Non Forest,High,Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1990,No,High,Disagree - minor,NA,Sample complete!,"Data Spot tidak ada nilai pada sample piksel, interprestasi berdasarkan Google Earth",,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,1453,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,none,1990,No,High,Disagree - major,NA,Sample complete!,"Data Spot tidak ada nilai pada sample piksel, interprestasi berdasarkan Google Earth",,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Jawa,2261,Non Forest,High,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,No edits needed,area between mountain (in shadow area),Jawa,2282,Primary degraded,High,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1995,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Jawa,2291,Non Forest,High,Hutan Tanaman,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1994,Yes,High,Disagree - major,NA,,jati,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Jawa,2326,Primary intact,Low,Hutan Sekunder,DEG_SL,High,1993,1990,Degraded - Selective Logging,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,seasonal climate in east Java,Jawa,2641,Primary intact,High,Hutan Primer,DEG_NE,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1997,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Jawa,2646,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1994,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,COMMISSION,AGREE_NON,YES,No edits needed,,Jawa,2649,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1994,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,Edited entry,seasonal climate in east Java,Jawa,2660,Primary intact,High,Hutan Primer,DEG_SL,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2016,1994,Yes,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,OMISSION,YES,No edits needed,,Jawa,2691,Primary degraded,Low,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1994,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,No edits needed,,Jawa,2695,Primary degraded,High,Belukar,CLEAR_AB,High,1999,1998,Degraded - Nearby clearing,High,2003,2002,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,Yes,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,OMISSION,YES,No edits needed,,Jawa,2699,Primary degraded,High,Hutan Mangrove Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,OMISSION,AGREE_NON,YES,Edited entry,,Jawa,2712,Non Forest,Low,Pertanian Lahan Kering Campur Semak,CLEAR_FI,High,NA,NA,,,,,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1994,Yes,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Anna checked,Anna checked,AGREE_FOR,COMMISSION,YES,No edits needed,wetland forest,Kalimantan,3788,Primary intact,high,Belukar Rawa,CLEAR_AB,High,1999,1997,Cleared - Abandoned/transitional,High,2003,2002,Cleared - Abandoned/transitional,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2014,1990,yes,high,Agree,,,,,,,NA,NA,NA,
