ID,LINK,PATH,PATH_1,PATH_3,PATH_5,Version,FINAL_LU_UMD,TRAJECTORY,ISLAND,Checked,NOTES,X1990_LC,X1990_CONF,X1990_NOTES,CH1_YR,CH1_PCF,CH1_TYPE,CH1_CONF,CH1_NOTES,CH2_YR,CH2_PCF,CH2_TYPE,CH2_CONF,CH2_NOTES,CH3_YR,CH3_PCF,CH3_TYPE,CH3_CONF,CH3_NOTES,CH4_YR,CH4_PCF,CH4_TYPE,CH4_CONF,CH4_NOTES,CH5_YR,CH5_PCF,CH5_TYPE,CH5_CONF,CH5_NOTES,CH6_YR,CH6_PCF,CH6_TYPE,CH6_CONF,CH6_NOTES,FINAL_LU,USER,CLASS_NOTES,NOTES_FINAL,CONF_FINAL,CHANGE_E_CONF,DISAGREEMENT_EDITS,DISAGREEMENT_NOTES,DEG_YR_FIRST,DEG_TYPE_FIRST,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,AGREE_DISAGREE,SPOT,HIGHRES_GE,FY_CF,Editor,NUM_CHANGE,TREE_COVER,LOSS_YEAR,KLHK_CLASS_1990,KLHK_CLASS_2000,KLHK_CLASS_2012,Sveta_2001,Belinda_2000,INCAS_2000,INCAS_2012,1990 status,2000 status,2001 status,2012 status,Team
942,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample942.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample942.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Could be either forest or shrubland,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar Rawa,Rizky checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Agree,YES,none,1996,NA,0,54,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1142,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1142.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1142.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Either cleared by fire or dried in 2016,Primary intact,HIGH,NA,2016,2015,Cleared - Fire,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Lahan Terbuka,Yazid checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,YES,none,1990,Yazid checked,0,89,NA,FOREST,FOREST,FOREST,NON,FOREST,NON,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1238,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1238.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1238.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,May have been degraded in 2016,Non forest,LOW,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar,Anna checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Disagree - major,YES,none,1991,NA,0,96,NA,FOREST,FOREST,FOREST,FOREST,FOREST,NON,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1259,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1259.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1259.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Recommend change,Degraded due to nearby clearing by end of the study period (possibly already degraded in 1990),Primary degraded,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Anna checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Agree,YES,none,1991,NA,0,98,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,NON,FOREST,FOREST,FOREST,FOREST,Team_3
1431,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1431.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1431.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Recommend change,"Possible logging road located just outside the white circle, we also see big NDVI min/max differences starting in 1999, so selective logging seems likely",Primary intact,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Anna checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Agree,YES,2010,1990,NA,0,95,NA,FOREST,FOREST,FOREST,FOREST,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,Team_3
1456,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1456.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1456.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Recommend change,"Degraded by first cloud free image (1996), degraded again or possibly cleared in 2000 & 2002/2003",Primary degraded,HIGH,NA,,0,,HIGH,clear image in 1987,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Inggit checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,YES,none,1996,Inggit checked,0,89,NA,FOREST,NON,NON,BUFFER,NON,FOREST,NON,FOREST,FOREST,FOREST,FOREST,Team_3
1555,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1555.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1555.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Recommend change,Degraded due to selective logging in 2005,Primary intact,HIGH,NA,2005,2004,Degraded - Selective Logging,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Inggit checked,NA,NA,HIGH,LOW,Edited entry,NA,0,NA,0,NA,Agree,YES,none,1990,Inggit checked,0,97,NA,FOREST,FOREST,FOREST,BUFFER,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1746,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1746.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1746.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Possible pixel was degraded in 2009,Primary intact,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Diana checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Agree,YES,none,1997,NA,0,95,NA,FOREST,FOREST,FOREST,FOREST,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,Team_3
1752,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1752.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1752.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,"High elevation (vegetation sparse), but based on Google Earth I think this  pixel is more likely forested than not",Non forest,HIGH,On the top of a mountain,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Savana,Diana checked,NA,NA,HIGH,HIGH,Edited entry,"Mountain forest, seasonally dry and sparse vegetation due to elevation, but based on GE pretty sure this is forest",0,NA,0,NA,Disagree - major,YES,none,1991,Diana checked,0,89,NA,FOREST,FOREST,FOREST,NON,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,Team_3
1783,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1783.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1783.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Possible selective logging starting in 2012,Primary intact,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Diana checked,NA,"Possible logging, starting around 2010",LOW,LOW,NA,NA,0,NA,0,NA,Agree,NO,none,1990,NA,0,97,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1910,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1910.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1910.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Possible degradation in 1998 (fire? Drying?),Primary intact,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Primer,Diana checked,NA,NA,HIGH,HIGH,No edits needed,Seasonal wetland forest,0,NA,0,NA,Disagree - major,YES,2016,1990,Diana checked,0,90,NA,FOREST,FOREST,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
2024,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample2024.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample2024.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Possible the pixel was degraded in 1999,Primary intact,LOW,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Primer,Yazid checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Agree,YES,none,1993,NA,0,95,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
2042,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample2042.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample2042.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Primary intact,NO_CHANGE,Irian_Jaya,Unsure,Possible the pixel has been affected by selective logging,Primary intact,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Yazid checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,YES,2015,1990,Yazid checked,0,89,NA,FOREST,FOREST,FOREST,BUFFER,FOREST,NON,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1497,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1497.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1497.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Unsure,"Not sure about the degradation event, looks like logging may have started in 1994",Primary intact,HIGH,NA,,,,,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Inggit checked,NA,NA,HIGH,HIGH,NA,NA,1998,Degraded - Selective logging,0,NA,Disagree - major,YES,none,1990,NA,1,98,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1415,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1415.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1415.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Unsure,Not sure this was selective logging,Primary intact,HIGH,NA,,,,,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Primer,Anna checked,NA,NA,HIGH,HIGH,NA,NA,1999,Degraded - Selective logging,0,NA,Disagree - major,YES,none,1995,NA,1,97,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1687,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1687.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1687.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Unsure,I'm not sure I see the degradation event,Primary intact,HIGH,NA,,,,,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Primer,Inggit checked,NA,NA,HIGH,HIGH,NA,NA,1999,Degraded - Selective logging,0,NA,Disagree - major,YES,none,1990,NA,1,85,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
18,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample18.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample18.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Unsure,Not sure I see the degradation event,Primary intact,HIGH,NA,,,,,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Primer,Tatik checked,NA,NA,HIGH,HIGH,NA,NA,2000,Degraded - Selective logging,0,NA,Disagree - minor,YES,none,1995,NA,1,97,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1670,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1670.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1670.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Unsure,Not sure I see the degradation event,Primary intact,HIGH,NA,,,,,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Inggit checked,NA,NA,HIGH,HIGH,NA,NA,2000,Degraded - Selective logging,0,NA,Disagree - major,YES,none,1990,NA,1,97,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1672,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1672.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1672.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Unsure,Not sure I see the degradation event,Primary intact,HIGH,NA,,,,,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Inggit checked,NA,NA,HIGH,HIGH,NA,NA,2000,Degraded - Selective logging,0,NA,Disagree - major,YES,none,1994,NA,1,97,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
1709,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1709.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample1709.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Unsure,Not sure I see the degradation event,Primary intact,HIGH,NA,,,,,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Diana checked,NA,NA,HIGH,LOW,NA,NA,2000,Degraded - Selective logging,0,NA,Disagree - major,YES,none,1990,NA,1,98,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
2162,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample2162.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample2162.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Recommend change,"Based on SPOT image, I don't think the pixel was forested at the end of the study, maybe non forest in 1990?",Non forest,HIGH,NA,,,,,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar Rawa,Yazid checked,NA,NA,HIGH,HIGH,No edits needed,NA,2000,Degraded - Selective logging,0,NA,Disagree - major,YES,none,1996,Yazid checked,1,90,NA,FOREST,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
516,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample516.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample516.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Recommend change,Cleared fire in 2016; not positive I see the 2002 degradation event (possibly degraded forest from 1990?),Primary intact,HIGH,NA,1999,1997,Degraded - Natural disturbance,HIGH,NA,2016,2015,Cleared - Palm estates,LOW,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Lahan Terbuka,Anna checked,NA,NA,HIGH,HIGH,Edited entry,forest in wetland,2002,Degraded - Selective logging,0,NA,Disagree - major,YES,none,1990,Anna checked,1,95,2016,FOREST,FOREST,FOREST,BUFFER,FOREST,NON,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
213,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample213.html,file:///J:/Indonesia_samples/pages_new/Irian_Jaya_sample213.html,file:///J:/Indonesia_samples/pages_new/,_sample,.html,February version,Degraded - Selective logging,DEG,Irian_Jaya,Unsure,Not sure I see the degradation event,Primary intact,HIGH,NA,,,,,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Inggit checked,NA,NA,HIGH,HIGH,NA,NA,2003,Degraded - Selective logging,0,NA,Disagree - major,YES,none,1990,NA,1,98,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_3
