ID,LINK,PATH,PATH_1,PATH_3,PATH_5,Version,FINAL_LAND_USE,TRAJECTORY,ISLAND,Checked,NOTES,X1990_LC,X1990_CONF,X1990_NOTES,CH1_YR,CH1_PCF,CH1_TYPE,CH1_CONF,CH1_NOTES,CH2_YR,CH2_PCF,CH2_TYPE,CH2_CONF,CH2_NOTES,CH3_YR,CH3_PCF,CH3_TYPE,CH3_CONF,CH3_NOTES,CH4_YR,CH4_PCF,CH4_TYPE,CH4_CONF,CH4_NOTES,CH5_YR,CH5_PCF,CH5_TYPE,CH5_CONF,CH5_NOTES,CH6_YR,CH6_PCF,CH6_TYPE,CH6_CONF,CH6_NOTES,FINAL_LU,USER,CLASS_NOTES,NOTES_FINAL,CONF_FINAL,CHANGE_E_CONF,DISAGREEMENT_EDITS,DISAGREEMENT_NOTES,DEG_YR_FIRST,DEG_TYPE_FIRST,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,AGREE_DISAGREE,SPOT,HIGHRES_GE,FY_CF,Editor,NUM_CHANGE,TREE_COVER,LOSS_YEAR,KLHK_CLASS_1990,KLHK_CLASS_2000,KLHK_CLASS_2012,Sveta_2001,Belinda_2000,INCAS_2000,INCAS_2012,1990 status,2000 status,2001 status,2012 status,Team
8943,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8943.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8943.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,"Either degraded or non forest, also degraded again in 2010",Primary degraded,HIGH,NA,2010,2008,Degraded - Nearby clearing,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Inggit checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,NO,2016,1992,Inggit checked,0,87,NA,NON,NON,NON,BUFFER,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8946,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8946.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8946.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,Not sure if this is forest or rubber,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,Inggit checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,YES,2016,1990,Inggit checked,0,98,NA,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8984,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8984.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8984.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,Rubber,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,Inggit checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,YES,2014,1990,Inggit checked,0,89,NA,NON,NON,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8996,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8996.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8996.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,"Degraded in 2016, possibly in 2013, also might have been degraded forest in start of the study period",Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,Inggit checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Agree,YES,2015,1991,Inggit checked,0,97,2016,NON,NON,NON,BUFFER,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9115,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9115.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9115.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,"Degraded, possibly clered in 2015/2016 (not sure if clearing was more than 50%)",Primary intact,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Inggit checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Disagree - minor,YES,2015,1990,NA,0,83,2016,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9178,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9178.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9178.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,"Probably degraded, not intact forest",Primary intact,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Primer,Yazid checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Disagree - major,YES,none,1990,NA,0,89,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9274,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9274.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9274.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,Possibly degraded forest?,Primary intact,HIGH,NA,2002,2001,Degraded - Natural disturbance,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Yazid checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Disagree - major,YES,none,1990,NA,0,86,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9321,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9321.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9321.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,Degraded from nearby peatland draining starting in 1998,Primary intact,HIGH,NA,1998,1996,Degraded - Peatland draining,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Rawa Sekunder,Yazid checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Disagree - minor,YES,2017,1991,NA,0,97,NA,FOREST,FOREST,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9469,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9469.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9469.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,"Degraded (or possibly cleared) by fire in 1998, I don't see any forest loss in 2009, though",Primary degraded,HIGH,NA,1998,1997,Cleared - Fire,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,Yazid checked,NA,"something happen in 1998, but it not change the vegetation (maybe long dry season)",HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Disagree - minor,YES,none,1997,Yazid checked,0,89,2009,NON,FOREST,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9597,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9597.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9597.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,Probably degraded forest,Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar Rawa,Tatik checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Disagree - minor,YES,2015,1990,NA,0,98,NA,FOREST,FOREST,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9779,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9779.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9779.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Recommend change,Degraded in 2001,Primary intact,HIGH,NA,2001,2000,Degraded - Nearby clearing,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Tatik checked,NA,NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Disagree - major,YES,2017,1990,Tatik checked,0,98,NA,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9814,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9814.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9814.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,Degraded in 1997?,Primary degraded,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Tatik checked,Gambut (peat swamp),NA,HIGH,HIGH,No edits needed,NA,0,NA,0,NA,Disagree - major,YES,2015,1993,Tatik checked,0,97,NA,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9940,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9940.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9940.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Primary intact,NO_CHANGE,Sumatera,Unsure,Cleared in 1999??,Primary intact,HIGH,NA,1994,1992,Cleared - Road,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Air,Tatik checked,NA,NA,HIGH,HIGH,NA,NA,0,NA,0,NA,Disagree - major,YES,2016,1990,NA,0,100,2010,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8822,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8822.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8822.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Recommend change,Another degradation (or possibly clearing) event happened in 2016 (fire?),Non forest,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Perkebunan,Inggit checked,NA,Rubber since 1990,HIGH,HIGH,No edits needed,NA,1993,Degraded - Selective logging,0,NA,Disagree - major,YES,2015,1990,Inggit checked,1,97,NA,FOREST,FOREST,FOREST,BUFFER,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8328,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8328.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8328.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Recommend change,"Nearby clearing, not selective logging; also possibly not primary forest?",Non forest,HIGH,NA,0,0,NA,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,Anna checked,NA,NA,HIGH,HIGH,Edited entry,NA,1994,Degraded - Selective logging,0,NA,Disagree - minor,YES,none,1991,Anna checked,1,94,NA,NON,NON,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8722,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8722.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8722.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Recommend change,"Cleared in 1996, not degraded",Primary intact,HIGH,NA,1996,1995,Cleared - Abandoned,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Belukar,Anna checked,NA,NA,HIGH,HIGH,No edits needed,NA,1996,Degraded - Selective logging,0,NA,Disagree - minor,YES,2016,1990,Anna checked,1,95,NA,FOREST,NON,NON,NON,NON,FOREST,NON,FOREST,FOREST,FOREST,FOREST,Team_2
8980,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8980.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8980.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Recommend change,"Degraded nearby clearing, not selective logging; also degraded nearby clearing again in 2002 and 2009",Primary degraded,LOW,NA,1998,1997,Degraded - Nearby clearing,HIGH,NA,2002,2001,Degraded - Nearby clearing,NA,NA,2009,2008,Degraded - Nearby clearing,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Inggit checked,NA,NA,HIGH,HIGH,NA,NA,1998,Degraded - Selective logging,0,NA,Agree,YES,2013,1990,NA,1,98,NA,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9460,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9460.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9460.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Unsure,I think its possible the area was rubber in 1990,Non forest,HIGH,NA,0,0,NA,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Perkebunan,Yazid checked,NA,NA,HIGH,HIGH,No edits needed,NA,1998,Degraded - Selective logging,0,NA,Agree,YES,none,1990,Yazid checked,1,98,NA,NON,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8473,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8473.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8473.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Recommend change,"Degraded nearby clearing, not selective logging",Primary intact,HIGH,NA,1999,1998,Degraded - Nearby clearing,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Anna checked,NA,NA,HIGH,HIGH,NA,NA,1999,Degraded - Selective logging,0,NA,Disagree - minor,YES,2014,1990,NA,1,98,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8868,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8868.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8868.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Recommend change,I think the pixel was actually cleared (smallholder? Abandoned?) in 1999,Primary intact,HIGH,NA,1999,1998,Cleared - Smallholder,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,Inggit checked,NA,NA,HIGH,HIGH,No edits needed,NA,1999,Degraded - Selective logging,0,NA,Disagree - major,YES,2016,1990,Inggit checked,1,97,NA,NON,NON,NON,BUFFER,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8981,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8981.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8981.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Unsure,"Agree with 1999 degradation, but not sure this was primary forest in 1990 (probably not intact, maybe non forest)",Non forest,HIGH,NA,0,0,NA,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Pertanian Lahan Kering Campur Semak,Inggit checked,NA,NA,HIGH,HIGH,No edits needed,NA,1999,Degraded - Selective logging,0,NA,Disagree - major,YES,2015,1990,Inggit checked,1,75,NA,NON,NON,NON,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
9204,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9204.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample9204.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Unsure,More likely nearby clearing,Primary intact,HIGH,NA,1998,1996,Degraded - Nearby clearing,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Yazid checked,NA,NA,HIGH,HIGH,NA,NA,1999,Degraded - Selective logging,0,NA,Disagree - minor,YES,2015,1990,NA,1,97,NA,FOREST,NON,NON,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
8430,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8430.html,file:///F:/Indonesia_samples/pages_new/Sumatera_sample8430.html,file:///F:/Indonesia_samples/pages_new/,_sample,.html,February,Degraded - Selective logging,DEG,Sumatera,Recommend change,Nearby clearing,Primary intact,HIGH,NA,2000,1999,Degraded - Nearby clearing,HIGH,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,Hutan Sekunder,Anna checked,NA,NA,HIGH,HIGH,NA,NA,2000,Degraded - Selective logging,0,NA,Disagree - major,NO,2011,1990,NA,1,98,NA,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,FOREST,Team_2
