USER,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,Link start,Link end,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,Seasonal wetland forest,Irian Jaya,1769,Primary degraded,High,Hutan Rawa Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013,1990,No,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Natural wetland, within the pixel there is no tree cover, there are tree covered patches in this area, so might meet KLHK's definition on a landscape scale",Irian Jaya,1779,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Pixel located in a river, but the landscape is a forest",Irian Jaya,1793,Non Forest,High,Air,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2011,1995,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,Edited entry,Boundary pixel between forested & non-forested wetland areas,Irian Jaya,1812,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,,Irian Jaya,1832,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,Boundary pixel between forested & non-forested seasonal wetland areas,Irian Jaya,1847,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,COMMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Natural wetland, but no tree cover in pixel",Irian Jaya,1850,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Natural wetland, but no tree cover in pixel",Irian Jaya,1854,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1996,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Seasonal wetland forest, pixel borders bare ground, but +50% of the pixel has tree cover",Irian Jaya,1855,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1993,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,COMMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Natural wetland, no tree cover in pixel itself",Irian Jaya,1869,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1993,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,,Irian Jaya,1872,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Natural wetland landscape, hard to tell if pixel is covered in trees or shrubs",Irian Jaya,1876,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,,Irian Jaya,1884,Primary intact,High,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,2001,2000,Degraded - Selective Logging,Low,2014,2013,Cleared - Small-holder land use,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1994,Yes,High,Agree,NA,,,,,NA,NA,NA,NA,Spot partially obscured by clouds
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,Seasonal wetland forest,Irian Jaya,1910,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_NON,COMMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,,Irian Jaya,1911,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,,Irian Jaya,1913,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1993,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,,Irian Jaya,1924,Primary degraded,High,Belukar,CLEAR_AB,High,2011,2010,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,Coastal pixel on the edge of a forested island (though pixel itself is clearly over water),Irian Jaya,1930,Non Forest,High,Air,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1992,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Irian_Jaya_sample,.html,No edits needed,"Mountain area, vegetation is relatively sparse but I think the pixel is forested",Irian Jaya,1937,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_NON,COMMISSION,YES,file:///F:/Indonesia_samples/pages_new/Jawa_sample,.html,No edits needed,Clove plantation,Jawa,2488,Non Forest,High,Hutan Tanaman,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1990,no,High,Disagree - major,NA,,Pine plantation,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Jawa_sample,.html,No edits needed,,Jawa,2507,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2016,1991,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Jawa_sample,.html,No edits needed,,Jawa,2536,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Jawa_sample,.html,Edited entry,"Near a degraded mountain forest, but pixel itself no longer primary",Jawa,2581,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1994,No,High,Agree,NA,Sample complete!,start 94,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Jawa_sample,.html,Edited entry,,Jawa,2602,Non Forest,high,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1994,no,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Jawa_sample,.html,Edited entry,"Mixed agroforestry area, more than 50% of trees planted",Jawa,2608,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2017,1994,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Jawa_sample,.html,No edits needed,Clearly agriculture in SPOT image,Jawa,2610,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1994,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Jawa_sample,.html,No edits needed,,Jawa,2637,Non Forest,Low,Pertanian Lahan Kering Campur Semak,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2015,1996,No,Low,Disagree - major,NA,,,,,NA,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,"Not sure why this pixel omitted from KLHK map, maybe too fragmented?",Kalimantan,3607,Primary degraded,high,Belukar Rawa,CLEAR_AB,High,1999,1997,Degraded - Nearby clearing,high,2003,2002,Cleared - Abandoned/transitional,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Agree,,,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,3615,Non Forest,High,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1990,no,high,Agree,,,sawit,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_FOR,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,3616,Primary intact,high,Perkebunan,CLEAR_PE,High,2008,2007,Degraded - Nearby clearing,low,2011,2010,Cleared - Palm estates,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1990,yes,high,Disagree - major,,,sawit,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,"Changed the driver, I think this was cleared by fire",Kalimantan,3619,Primary degraded,high,Belukar Rawa,CLEAR_AB,High,1991,1990,Degraded - Selective Logging,Low,1994,1993,Degraded - Nearby clearing,High,1999,1997,Cleared - Fire,Low,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,,,possibly cleared due to fire in 1998,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,"Logging road built in 1990, but I don't think more than 50% of the pixel was affected",Kalimantan,3622,Primary intact,low,Hutan Sekunder,DEG_NE,High,1999,1994,Degraded - Selective Logging,High,2016,2014,Degraded - Nearby clearing,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,yes,high,Disagree - minor,,,,,"Unsure whether this was just more intensive logging, or nearby clearing for another purpose",,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,"Pretty sure this is non forest, not sure why it was included in KLHK map",Kalimantan,3631,Non Forest,low,Belukar,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,no,low,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Boundary pixel in 1990,Kalimantan,3632,Primary degraded,high,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,1995,1991,Cleared - Small-holder land use,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Karst forest (relatively sparse tree cover & dry),Kalimantan,3638,Primary intact,high,Hutan Sekunder,DEG_SL,High,2000,1999,Degraded - Selective Logging,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1990,yes,low,Agree,,,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,3640,Non Forest,low,Pertambangan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1996,no,high,Agree,,,,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,"Wetland area, already shrubland in 1990",Kalimantan,3641,Non Forest,Low,Perkebunan,NON,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,High,Disagree - minor,,,sawit,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,Edited cloud free year for first change,Kalimantan,3645,Primary degraded,high,Belukar,CLEAR_AB,High,1999,1998,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Agree,,,perubahan di 2015 (ls sebelumnya 2014),,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,Degraded forest in 1990,Kalimantan,3652,Primary degraded,high,Perkebunan,CLEAR_PE,High,1993,1990,Cleared - Abandoned/transitional,High,1998,1997,Cleared - Fire,High,2011,2010,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,no,high,Disagree - minor,,,Sawit,,,,NA,NA,NA,
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,"Added 4th change event (abandoned land, no change in land use)",Kalimantan,3660,Primary degraded,high,Belukar Rawa,CLEAR_AB,High,1999,1997,Degraded - Fire,low,2007,2006,Cleared - Abandoned/transitional,High,2013,2012,Cleared - Abandoned/transitional,High,2016,2015,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,,,,,,NA,NA,NA,"Located inside a large-scale palm estate, but I don't think the block where the pixel is located had been planted as of 2016"
Diana checked,Diana checked,OMISSION,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,"Changed clearing year (2003, I think the previous year was a typo); pixel very degraded by fire in 1998, but I don't think it was cleared at that time",Kalimantan,3668,Primary degraded,high,Perkebunan,CLEAR_PE,High,1998,1996,Degraded - Fire,High,2003,2002,Cleared - Abandoned/transitional,High,2005,2004,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1991,yes,High,Disagree - major,,,sawit,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,,Kalimantan,3674,Non Forest,High,Perkebunan,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2010,1993,no,high,Agree,,,sawit,,,,NA,NA,NA,"Pixel itself covered with clouds in high res GE image, but area adjacent pixel is clear"
Diana checked,Diana checked,OMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,No edits needed,Not sure why this was excluded from the 1990 KLHK map,Kalimantan,3676,Primary intact,high,Lahan Terbuka,CLEAR_AB,HIgh,1999,1998,Cleared - Abandoned/transitional,high,2007,2006,Cleared - Abandoned/transitional,Low,2016,2015,Cleared - Abandoned/transitional,High,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1993,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,Forested in 1990 (degraded); boundary of a river,Kalimantan,3678,Primary degraded,high,Lahan Terbuka,CLEAR_AB,HIgh,2010,2009,Cleared - Abandoned/transitional,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2009,1993,no,high,Disagree - minor,,,Rubber,,,,NA,NA,NA,
Diana checked,Diana checked,COMMISSION,AGREE_NON,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,Boundary pixel in 1990,Kalimantan,3680,Primary degraded,High,Belukar Rawa,CLEAR_AB,High,1996,1994,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,no,high,Disagree - major,,,,,,,NA,NA,NA,
Diana checked,Diana checked,AGREE_FOR,OMISSION,YES,file:///F:/Indonesia_samples/pages_new/Kalimantan_sample,.html,Edited entry,Non primary forest in 1990 (secondary forest),Kalimantan,3681,Non Forest,high,Belukar Rawa,NON,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,No,none,1991,yes,high,Agree,,,tidak ada data spot dan landsat di 2015-2016,,,,NA,NA,NA,
