USER,Link,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample930.html,Rizky checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,930,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2011,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample931.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,931,Primary degraded,High,Hutan Sekunder,DEG_NE,High,2000,1999,Degraded - Nearby clearing,High,2011,2010,Degraded - Nearby clearing,High,2014,2013,Degraded - Nearby clearing,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample933.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,933,Primary degraded,High,Lahan Terbuka,CLEAR_FI,High,1993,1992,Degraded - Nearby clearing,High,2016,2015,Cleared - Fire,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample934.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,Seasonal Wetland,Irian Jaya,934,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1996,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample936.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,936,Non Forest,Low,Belukar,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1997,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample939.html,Rizky checked,OMISSION,OMISSION,YES,Edited entry,changing from forest degradation to non forest,Irian Jaya,939,Non Forest,Low,Savana,CLEAR_FI,High,,,,,,,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2010,2001,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample952.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,952,Primary intact,High,Hutan Sekunder,DEG_NE,High,1998,1997,Degraded - Nearby clearing,High,2013,2012,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample957.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,957,Primary intact,High,Hutan Sekunder,DEG_NE,High,1999,1996,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1993,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample967.html,Rizky checked,OMISSION,OMISSION,YES,Edited entry,changing from forest degradation to non forest,Irian Jaya,967,Non Forest,High,Belukar Rawa,CLEAR_FI,High,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Jawa_sample2831.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Jawa,2831,Non Forest,High,Hutan Tanaman,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1994,No,High,Agree,NA,No available data during 1990-1992,Jati,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Jawa_sample2836.html,Rizky checked,OMISSION,AGREE_NON,YES,No edits needed,,Jawa,2836,Non Forest,Low,Belukar,CLEAR_AB,High,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2006,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Jawa_sample2840.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Jawa,2840,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2009,2005,No,High,Disagree - minor,NA,No available data during 1990-2004,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Jawa_sample2864.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Jawa,2864,Primary degraded,High,Hutan Sekunder,DEG_NE,High,2006,2005,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2003,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4153.html,Rizky checked,OMISSION,OMISSION,YES,Edited entry,changing from forest degradation to non forest,Kalimantan,4153,Non Forest,High,Pertanian Lahan Kering Campur Semak,CLEAR_AB,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2012,1990,Yes,Low,Disagree - major,,Sample complete!,,,,,NA,NA,NA,The pixel is surrounded by palm smallholder
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4159.html,Rizky checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,4159,Non Forest,Low,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,yes,none,1991,Yes,high,Disagree - major,Diana edited,Sample complete!,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4163.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4163,Non Forest,high,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,yes,none,1990,no,high,Disagree - major,,Pixel is right on the road in the middle of forest,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4174.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,4174,Primary intact,low,Hutan Sekunder,CLEAR_SH,High,2016,2015,Cleared - Small-holder land use,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,yes,none,1990,Yes,high,Disagree - major,,Sample complete!,,,,,NA,NA,NA,forest regrowth
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4177.html,Rizky checked,OMISSION,AGREE_NON,YES,Edited entry,changing from forest degradation to non forest,Kalimantan,4177,Non Forest,high,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,yes,2014,1990,Yes,high,Disagree - major,Diana edited,,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4181.html,Rizky checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4181,Primary intact,high,Belukar Rawa,CLEAR_AB,High,1998,1997,Cleared - Fire,high,2007,2006,Cleared - Abandoned/transitional,high,2010,2009,Cleared - Abandoned/transitional,Low,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - minor,,Sample complete!,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4182.html,Rizky checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4182,Primary degraded,high,Tambak,CLEAR_OT,High,1997,1996,Cleared - Other,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - major,,,,fish pond,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4185.html,Rizky checked,COMMISSION,COMMISSION,YES,No edits needed,,Kalimantan,4185,Non Forest,high,Hutan Tanaman,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1994,no,high,Disagree - major,,no free cloud image during 1990-1993,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4186.html,Rizky checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4186,Primary degraded,Low,Perkebunan,CLEAR_PE,High,1994,1993,Degraded - Nearby clearing,High,1996,1994,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1992,No,high,Disagree - major,,no free cloud image during 1990-1991,Sawit,,Land clearing might be happened in 1995,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4189.html,Rizky checked,OMISSION,OMISSION,YES,Edited entry,changing from forest degradation to non forest,Kalimantan,4189,Non Forest,high,Hutan Tanaman,DEG_NE,High,,,,,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2009,1990,yes,high,Disagree - major,,,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4193.html,Rizky checked,OMISSION,OMISSION,YES,Edited entry,changing from forest degradation to non forest,Kalimantan,4193,Non Forest,Low,Hutan Tanaman,DEG_NE,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2015,1990,Yes,high,Disagree - major,,,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4194.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Kalimantan,4194,Primary intact,high,Hutan Sekunder,DEG_NE,High,2001,2000,Degraded - Nearby clearing,high,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,yes,high,Disagree - major,,,,Clearing is right on the boundary of the pixel,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4197.html,Rizky checked,OMISSION,OMISSION,YES,No edits needed,,Kalimantan,4197,Primary intact,high,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,2003,2002,Degraded - Nearby clearing,High,2006,2005,Cleared - Small-holder land use,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2013,1991,yes,high,Disagree - minor,,,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4199.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4199,Non Forest,high,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2010,1994,no,high,Agree,,no free cloud image during 1990-1993,,swamp,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4208.html,Rizky checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4208,Primary degraded,high,Lahan Terbuka,CLEAR_PE,High,1994,1992,Cleared - Other,Low,2008,2007,Cleared - Palm estates,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,none,1990,Yes,high,Disagree - major,,,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4210.html,Rizky checked,OMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4210,Primary intact,low,Perkebunan,CLEAR_PE,High,1999,1996,Cleared - Fire,High,2006,2005,Cleared - Palm estates,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2016,1995,Yes,high,Agree,,,Sawit,,,,NA,NA,NA,
